,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Argentina,Argentina,GPE,0.02619048,0.12182540,en,6.00000000,4002890-2,3865483,A,-34.00000000,-64.00000000,SOUTH-AMERICA,Argentina,SES
Crans Montana,Crans Montana,GPE,-0.08126722,0.27052342,en,5.50000000,4275008-8,6559506,P,46.31316000,7.47914000,EUROPE,Switzerland,WCE
Glasgow,Glasgow,GPE,-0.09340909,0.28090909,en,5.50000000,4021159-9,2648579,P,55.86515000,-4.25763000,EUROPE,United Kingdom,NEU
Ukraine,Ukraine,GPE,-0.12473795,0.52201258,en,5.30000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Eastern Aegean,Eastern Aegean,LOC,-0.33076923,0.36121795,en,5.20000000,,0,,,,,,
Laconia,Laconia,GPE,-0.37581699,0.39215686,en,5.10000000,,258657,A,37.00000000,22.58333000,EUROPE-AFRICA,Greece,MED
Austria,Austria,GPE,-0.23197279,0.35351474,en,4.90000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Piraeus,Piraeus,GPE,-0.63281250,0.66232639,en,4.80000000,4115976-7,255274,P,37.94203000,23.64619000,EUROPE-AFRICA,Greece,MED
Scotland,Scotland,GPE,-0.04769022,0.33913043,en,4.60000000,4053233-1,5057190,A,40.45260000,-92.14705000,NORTH-AMERICA,United States,CNA
Abu Dhabi,Abu Dhabi,GPE,-0.18478261,0.25000000,en,4.60000000,4000287-1,292968,P,24.45118000,54.39696000,ASIA,United Arab Emirates,ARP
Larnaca,Larnaca,GPE,0.02769151,0.22256729,en,4.60000000,4099067-9,146400,P,34.92210000,33.62794000,EUROPE-AFRICA,Cyprus,MED
Cuba,Cuba,GPE,-0.04521739,0.36550725,en,4.60000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
Pakistan,Pakistan,GPE,-0.08967391,0.31467391,en,4.60000000,4075812-6,1168579,A,30.00000000,70.00000000,ASIA,Pakistan,WCA
Vouliagmeni,Vouliagmeni,GPE,-0.31111111,0.56296296,en,4.50000000,4392648-4,251771,H,38.02885000,22.88341000,EUROPE-AFRICA,Greece,MED
Dubai,Dubai,GPE,0.07407407,0.26111111,en,4.50000000,4204044-9,292223,P,25.07725000,55.30927000,ASIA,United Arab Emirates,ARP
Fthiotida,Fthiotida,GPE,-0.04545455,0.01136364,en,4.40000000,4452093-1,258620,P,38.89947000,22.43350000,EUROPE-AFRICA,Greece,MED
Peru,Peru,GPE,-0.14682540,0.51587302,en,4.20000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Glyfada,Glyfada,GPE,-0.66666667,0.63492063,en,4.20000000,4662892-7,262036,P,37.86289000,23.75802000,EUROPE-AFRICA,Greece,MED
Tzoumerka,Tzoumerka,GPE,-0.63821138,0.71341463,en,4.10000000,4761899-1,264382,T,39.44766000,21.15341000,EUROPE-AFRICA,Greece,MED
Moschato,Moschato,GPE,-0.70000000,0.66666667,en,4.00000000,,256750,P,37.94789000,23.67880000,EUROPE-AFRICA,Greece,MED
Northern Greece,Northern Greece,LOC,-0.28333333,0.60416667,en,4.00000000,,4984524,P,44.04863000,-83.69582000,NORTH-AMERICA,United States,ENA
Pyrgos,Pyrgos,GPE,-0.14708333,0.26458333,en,4.00000000,4103464-8,19005,L,34.94804000,33.85339000,EUROPE-AFRICA,Vereinigtes Königreich,MED
Nicosia,Nicosia,GPE,0.00000000,0.07916667,en,4.00000000,4075406-6,146268,P,35.17284000,33.35397000,EUROPE-AFRICA,Cyprus,MED
Bandung,Bandung,GPE,0.13835264,0.61003861,en,3.70000000,4080255-3,1650357,P,-6.92222000,107.60694000,ASIA,Indonesia,SEA
Nisemi,Nisemi,GPE,-0.09266409,0.55791506,en,3.70000000,,0,,,,,,
Madrid,Madrid,GPE,-0.14864865,0.19519520,en,3.70000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Troodos,Troodos,GPE,0.10537811,0.33674584,en,3.70000000,4259564-2,146016,T,34.92334000,32.85120000,EUROPE-AFRICA,Cyprus,MED
Karachi,Karachi,GPE,-0.05743243,0.31554054,en,3.70000000,4097647-6,1174872,P,24.86080000,67.01040000,ASIA,Pakistan,SAS
Europe,Europe,LOC,-0.18918919,0.48198198,en,3.70000000,,0,,,,,,
Vanuatu,Vanuatu,GPE,0.23423423,0.39639640,en,3.70000000,4062334-8,2134431,A,-16.33330000,167.50000000,PACIFIC,Vanuatu,SPO
India,India,GPE,-0.16666667,0.37387387,en,3.70000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
China,China,GPE,-0.28746929,0.85257985,en,3.70000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Manama,Manama,GPE,0.06628057,0.42985843,en,3.70000000,4100079-1,290340,P,26.22787000,50.58565000,ASIA,Bahrain,ARP
Malaysia,Malaysia,GPE,0.08108108,0.32432432,en,3.70000000,4037203-0,1733045,A,2.50000000,112.50000000,ASIA,Malaysia,SEA
Naxos,Naxos,GPE,-0.14076577,0.39977477,en,3.70000000,7521221-3,256631,T,37.07257000,25.48616000,EUROPE-AFRICA,Greece,MED
Katakolo,Katakolo,GPE,-0.09266409,0.33462033,en,3.70000000,,260699,T,37.42720000,24.46819000,EUROPE-AFRICA,Greece,MED
Boston,Boston,GPE,0.14987715,0.56265356,en,3.70000000,4007840-1,4930956,P,42.35843000,-71.05977000,NORTH-AMERICA,United States,ENA
Zakynthos,Zakynthos,GPE,-0.06306306,0.22522523,en,3.70000000,4076964-1,251279,T,37.78845000,20.76749000,EUROPE-AFRICA,Greece,MED
Arta,Arta,GPE,-0.08180502,0.22997104,en,3.70000000,4221538-9,449265,A,11.50000000,42.75000000,AFRICA,Djibouti,NEAF
Larissa,Larissa,GPE,-0.27027027,0.58333333,en,3.70000000,4034588-9,258576,P,39.63689000,22.41761000,EUROPE-AFRICA,Greece,MED
Central Macedonia,Central Macedonia,LOC,-0.16494589,0.50277778,en,3.50000000,4051394-4,734077,P,40.64361000,22.93086000,EUROPE-AFRICA,Greece,MED
Evrytania,Evrytania,GPE,-0.00595238,0.23809524,en,3.50000000,,262572,A,39.00000000,21.66667000,EUROPE-AFRICA,Greece,MED
Leptokarya,Leptokarya,GPE,-0.02272727,0.21212121,en,3.30000000,,258483,P,39.82356000,20.91256000,EUROPE-AFRICA,Greece,MED
Amorgos,Amorgos,GPE,0.00000000,0.00000000,en,3.10000000,4355923-2,265141,T,36.84677000,25.89831000,EUROPE-AFRICA,Greece,MED
Afghanistan,Afghanistan,GPE,-0.03225806,0.03225806,en,3.10000000,4000687-6,1149361,A,33.00000000,66.00000000,ASIA,Afghanistan,WCA
Florina,Florina,GPE,-0.09946237,0.12275986,en,3.10000000,4385909-4,736229,P,40.78197000,21.40981000,EUROPE-AFRICA,Greece,MED
Philippines,Philippines,GPE,-0.17857143,0.21428571,en,2.80000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Riyadh,Riyadh,GPE,0.00510204,0.07908163,en,2.80000000,4015384-8,108410,P,24.68773000,46.72185000,ASIA,Saudi Arabia,ARP
Ypsonas,Ypsonas,GPE,0.00000000,0.35714286,en,2.80000000,,10346946,A,34.70424000,32.94990000,EUROPE-AFRICA,Cyprus,MED
Arravonitsa,Arravonitsa,GPE,0.00000000,0.00000000,en,2.80000000,,0,,,,,,
Xylofagos,Xylofagos,GPE,-0.02380952,0.61904762,en,2.80000000,,0,,,,,,
Agrafa,Agrafa,GPE,0.06250000,0.40178571,en,2.80000000,4633178-5,265613,P,39.13689000,21.64911000,EUROPE-AFRICA,Greece,MED
Odessa,Odessa,GPE,0.05357143,0.42460317,en,2.80000000,4043115-0,698740,P,46.48572000,30.74383000,EUROPE,Ukraine,WCE
the Canary Islands,the Canary Islands,LOC,-0.04761905,0.34126984,en,2.80000000,,2520308,T,28.00000000,-15.50000000,AFRICA,Spain,SAH
the United States,the United States,GPE,-0.01488095,0.23511905,en,2.80000000,,0,,,,,,
New Jersey,New Jersey,GPE,0.12865260,0.54491342,en,2.80000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
Georgia,Georgia,GPE,0.09523810,0.23214286,en,2.80000000,4022406-5,614540,A,41.99998000,43.49990000,ASIA,Georgia,WCA
Venice,Venice,GPE,0.27991071,0.88526786,en,2.80000000,4062501-1,3164603,P,45.43713000,12.33265000,EUROPE,Italy,WCE
Corinth,Corinth,GPE,-0.16964286,0.83234127,en,2.80000000,,11351423,A,14.04710000,-60.96046000,CENTRAL-AMERICA,Saint Lucia,CAR
Evros,Evros,GPE,-0.24214286,0.55722222,en,2.80000000,4761279-4,262571,T,37.47443000,25.46074000,EUROPE-AFRICA,Greece,MED
Katerini,Katerini,GPE,-0.11904762,0.65476190,en,2.80000000,4097715-8,735914,P,40.26956000,22.50608000,EUROPE-AFRICA,Greece,MED
Madagascar,Madagascar,GPE,-0.50000000,0.62500000,en,2.80000000,4074425-5,1062947,A,-20.00000000,47.00000000,AFRICA,Madagascar,MDG
Sykoula,Sykoula,GPE,-0.18220663,0.37978316,en,2.80000000,,264974,P,39.07834000,21.09104000,EUROPE-AFRICA,Greece,MED
Larissa - Roads,Larissa - Roads,LOC,-0.75000000,0.71428571,en,2.80000000,,0,,,,,,
Paros,Paros,GPE,-0.52232143,0.58779762,en,2.80000000,4044728-5,255720,T,37.05722000,25.18750000,EUROPE-AFRICA,Greece,MED
Pikermi,Pikermi,GPE,-0.08482143,0.29613095,en,2.80000000,1245964380,255319,P,38.00161000,23.94075000,EUROPE-AFRICA,Greece,MED
Congo,Congo,GPE,-0.19642857,0.28571429,en,2.80000000,4032097-2,2260494,A,-1.00000000,15.50000000,AFRICA,Republic of the Congo,CAF
Giannitsochori,Giannitsochori,GPE,-0.35714286,0.35714286,en,2.80000000,,0,,,,,,
Finland,Finland,GPE,-0.14285714,0.26190476,en,2.80000000,4017243-0,660013,A,64.00000000,26.00000000,EUROPE,Finland,NEU
Sweden,Sweden,GPE,-0.14285714,0.26190476,en,2.80000000,4077258-5,2661886,A,62.00000000,15.00000000,EUROPE,Sweden,NEU
Northeast,Northeast,LOC,0.47077922,0.79545455,en,2.80000000,,11887749,L,42.80019000,-74.11805000,NORTH-AMERICA,United States,ENA
North Aegean,North Aegean,GPE,-0.23737374,0.32304527,en,2.70000000,,6697806,A,37.71942000,26.81956000,EUROPE-AFRICA,Greece,MED
Voula,Voula,GPE,-0.53846154,0.51282051,en,2.60000000,,251780,P,37.84221000,23.77651000,EUROPE-AFRICA,Greece,MED
Evrota,Evrota,GPE,-0.47115385,0.55021368,en,2.60000000,,7668315,S,36.97390000,22.52630000,EUROPE-AFRICA,Greece,MED
Washington,Washington,GPE,-0.03365385,0.38942308,en,2.60000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Eastern Macedonia,Eastern Macedonia,LOC,0.02243590,0.53685897,en,2.60000000,,729441,L,41.40544000,23.09373000,EUROPE-AFRICA,Bulgaria,MED
Chania,Chania,GPE,0.00000000,0.00000000,en,2.60000000,4090320-5,260114,P,35.51124000,24.02921000,EUROPE-AFRICA,Greece,MED
the United Arab Emirates,the United Arab Emirates,GPE,0.01201923,0.19230769,en,2.60000000,,8469718,T,25.22231000,55.17181000,ASIA,United Arab Emirates,ARP
Michigan,Michigan,GPE,-0.28846154,0.59615385,en,2.60000000,4115139-2,5001836,A,44.25029000,-85.50033000,NORTH-AMERICA,United States,ENA
United Arab Emirates,United Arab Emirates,GPE,0.00000000,0.00000000,en,2.60000000,4062742-1,290557,A,23.75000000,54.50000000,ASIA,United Arab Emirates,ARP
Gulf,Gulf,LOC,-0.04000000,0.31000000,en,2.50000000,,0,,,,,,
Saudi Arabia,Saudi Arabia,GPE,0.32000000,0.52000000,en,2.50000000,4051788-3,102358,A,25.00000000,45.00000000,ASIA,Saudi Arabia,ARP
Romania,Romania,GPE,-0.08333333,0.20833333,en,2.40000000,4050939-4,798549,A,46.00000000,25.00000000,EUROPE,Romania,WCE
Lixouri,Lixouri,GPE,0.00000000,0.00000000,en,2.40000000,7547724-5,258175,P,38.20133000,20.43706000,EUROPE-AFRICA,Greece,MED
Tripoli,Tripoli,GPE,-0.29166667,0.27777778,en,2.40000000,4262763-1,266826,P,34.43352000,35.84415000,EUROPE-AFRICA,Lebanon,MED
Taiwan,Taiwan,GPE,0.18055556,0.30555556,en,2.40000000,4017875-4,1668284,A,24.00000000,121.00000000,ASIA,Taiwan,EAS
Euroleague,Euroleague,GPE,-0.16666667,0.16666667,en,2.40000000,,0,,,,,,
Vlychada,Vlychada,GPE,0.00000000,0.00000000,en,2.00000000,,9036830,P,38.02734000,23.43663000,EUROPE-AFRICA,Greece,MED
Picrodafni,Picrodafni,GPE,-0.51052632,0.66842105,en,1.90000000,,0,,,,,,
Tempe,Tempe,GPE,0.13157895,0.17543860,en,1.90000000,4296723-5,5317058,P,33.41477000,-111.90931000,CENTRAL-AMERICA,United States,NCA
Israel,Israel,GPE,0.00000000,0.00000000,en,1.90000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Storm Niles,Storm Niles,GPE,-0.13684211,0.34210526,en,1.90000000,,0,,,,,,
Etna,Etna,GPE,1.05263158,1.05263158,en,1.90000000,4084764-0,2524810,T,37.75029000,14.99466000,EUROPE-AFRICA,Italy,MED
Sahara,Sahara,LOC,0.25000000,0.78947368,en,1.90000000,,0,,,,,,
Zaporizhia,Zaporizhia,GPE,0.13157895,0.62573099,en,1.90000000,4288530-9,687700,P,47.85167000,35.11714000,EUROPE,Ukraine,WCE
Malta,Malta,GPE,0.63157895,0.94736842,en,1.90000000,508790-9,2562770,A,35.91667000,14.43333000,EUROPE-AFRICA,Malta,MED
Havana,Havana,GPE,-0.08771930,0.22807018,en,1.90000000,4023865-9,3553478,P,23.13302000,-82.38304000,CENTRAL-AMERICA,Cuba,CAR
East Coast,East Coast,LOC,0.57097289,0.70733652,en,1.90000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Parnitha,Parnitha,GPE,-0.00029904,0.27751196,en,1.90000000,4560984-6,255728,T,38.17434000,23.71708000,EUROPE-AFRICA,Greece,MED
Kalavryta,Kalavryta,GPE,0.00000000,0.00000000,en,1.90000000,4340767-5,261537,P,38.03222000,22.11250000,EUROPE-AFRICA,Greece,MED
Alaska,Alaska,GPE,0.00000000,0.52631579,en,1.90000000,4246931-4,5879400,P,61.21806000,-149.90028000,NORTH-AMERICA,United States,NWN
Dafni,Dafni,GPE,0.13333333,0.46315789,en,1.90000000,,263312,P,37.95002000,23.73437000,EUROPE-AFRICA,Greece,MED
West Java,West Java,GPE,-0.22807018,0.19736842,en,1.90000000,5060395-4,1649378,P,-6.23490000,106.98960000,ASIA,Indonesia,SEA
Myrina,Myrina,GPE,-0.28947368,0.78947368,en,1.90000000,4041007-9,256930,P,39.87483000,25.06359000,EUROPE-AFRICA,Greece,MED
earth,earth,LOC,-0.20394737,0.26315789,en,1.90000000,,0,,,,,,
Olympiakos,Olympiakos,GPE,0.00000000,0.00000000,en,1.90000000,,0,,,,,,
the Great Plains,the Great Plains,LOC,0.59868421,0.85526316,en,1.90000000,,12212750,L,42.58598000,-100.51728000,NORTH-AMERICA,United States,CNA
Aiges,Aiges,GPE,-0.21052632,0.21052632,en,1.90000000,,265504,P,38.10116000,22.36134000,EUROPE-AFRICA,Greece,MED
Naples,Naples,GPE,-0.08771930,0.17543860,en,1.90000000,4041476-0,3172394,P,40.85216000,14.26811000,EUROPE-AFRICA,Italy,MED
Tenerife,Tenerife,LOC,-0.12280702,0.71345029,en,1.90000000,4277900-5,2511174,P,28.46824000,-16.25462000,AFRICA,Spain,SAH
Pano Polemidia,Pano Polemidia,GPE,0.00000000,0.00000000,en,1.90000000,1337695629,146216,P,34.70559000,32.99269000,EUROPE-AFRICA,Cyprus,MED
Shanghai,Shanghai,GPE,-0.08991228,0.80701754,en,1.90000000,4052066-3,1796236,P,31.22222000,121.45806000,ASIA,China,EAS
Sterea,Sterea,GPE,0.07894737,0.41666667,en,1.90000000,,253191,L,38.66667000,22.50000000,EUROPE-AFRICA,Greece,MED
Straits,Straits,LOC,0.03333333,0.28771930,en,1.90000000,,0,,,,,,
Hormuz,Hormuz,GPE,0.03333333,0.28771930,en,1.90000000,4072627-7,287878,H,26.56667000,56.25000000,ASIA,Oman,WCA
Atlantic,Atlantic,LOC,-0.07894737,0.40350877,en,1.90000000,,12110846,L,40.58629000,-76.28807000,NORTH-AMERICA,United States,ENA
Rio,Rio,GPE,-0.43713450,0.66228070,en,1.90000000,4076741-3,3451190,P,-22.90642000,-43.18223000,SOUTH-AMERICA,Brazil,SES
the Talaun island,the Talaun island,LOC,-0.26809211,0.43421053,en,1.90000000,,0,,,,,,
Talaun island,Talaun island,LOC,-0.22039474,0.44736842,en,1.90000000,,0,,,,,,
Kastoria,Kastoria,GPE,-0.02631579,0.13157895,en,1.90000000,4110039-6,735927,P,40.52165000,21.26341000,EUROPE-AFRICA,Greece,MED
L.D.,L.D.,GPE,-0.23684211,0.50000000,en,1.90000000,4223034-2,2960634,P,49.48056000,6.08750000,EUROPE,Luxembourg,WCE
Menidi,Menidi,GPE,0.11654135,0.22431078,en,1.90000000,7595751-6,265488,P,38.08333000,23.73333000,EUROPE-AFRICA,Greece,MED
Vienna,Vienna,GPE,0.00000000,0.26315789,en,1.90000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
Denmark,Denmark,GPE,-0.08552632,0.23026316,en,1.90000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Philadelphia,Philadelphia,GPE,0.04784689,0.54545455,en,1.90000000,4103331-0,4560349,P,39.95238000,-75.16362000,NORTH-AMERICA,United States,ENA
Emporio,Emporio,GPE,0.00000000,0.13157895,en,1.90000000,,262693,P,38.18825000,26.02877000,EUROPE-AFRICA,Greece,MED
Bulgaria,Bulgaria,GPE,0.42214912,0.54824561,en,1.90000000,4008866-2,732800,A,42.66667000,25.25000000,EUROPE-AFRICA,Bulgaria,MED
Mexico,Mexico,GPE,0.00000000,0.00000000,en,1.90000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
The United Arab Emirates,The United Arab Emirates,GPE,0.07602339,0.20467836,en,1.90000000,,8469718,T,25.22231000,55.17181000,ASIA,United Arab Emirates,ARP
the United States Geological Survey,the United States Geological Survey,GPE,0.47368421,0.46052632,en,1.90000000,,7708204,S,30.22500000,-92.04500000,NORTH-AMERICA,United States,CNA
Sofiana,Sofiana,GPE,0.15789474,0.52631579,en,1.90000000,1097763846,253495,P,38.03528000,22.47627000,EUROPE-AFRICA,Greece,MED
Columbus,Columbus,GPE,0.00000000,0.34210526,en,1.90000000,4085305-6,4509177,P,39.96118000,-82.99879000,NORTH-AMERICA,United States,ENA
Messi,Messi,GPE,0.00000000,0.00000000,en,1.90000000,,12530416,L,39.82555000,9.24855000,EUROPE-AFRICA,Italy,MED
Spata - Fears,Spata - Fears,GPE,-0.77777778,0.74074074,en,1.80000000,,0,,,,,,
the Ionian Islands,the Ionian Islands,GPE,-0.33228114,0.42248878,en,1.80000000,,10112063,S,39.78942000,19.72041000,EUROPE-AFRICA,Greece,MED
Qatar,Qatar,GPE,0.55555556,0.55555556,en,1.80000000,4029924-7,289688,A,25.50000000,51.25000000,ASIA,Qatar,ARP
Voula - Roads,Voula - Roads,LOC,-0.35416667,0.45833333,en,1.80000000,,0,,,,,,
Canada,Canada,GPE,0.00000000,0.00000000,en,1.80000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Attica - Rains,Attica - Rains,GPE,-0.11111111,0.64814815,en,1.80000000,,0,,,,,,
Western Australia,Western Australia,LOC,0.08333333,0.25000000,en,1.80000000,4232458-0,2063523,P,-31.95224000,115.86140000,OCEANIA,Australia,SAU
Monemvasia municipality,Monemvasia municipality,GPE,-0.39351852,0.42438272,en,1.80000000,,0,,,,,,
Keratsini,Keratsini,GPE,-0.77777778,0.74074074,en,1.80000000,,260204,P,37.96250000,23.61972000,EUROPE-AFRICA,Greece,MED
Spata,Spata,GPE,-0.58333333,0.57407407,en,1.80000000,10366054-9,253376,P,37.96163000,23.91514000,EUROPE-AFRICA,Greece,MED
Kifissos,Kifissos,GPE,-0.46296296,0.75925926,en,1.80000000,,259822,H,38.41817000,23.25460000,EUROPE-AFRICA,Greece,MED
Mexico City,Mexico City,GPE,0.27450980,0.98039216,en,1.70000000,4039060-3,3530597,P,19.42847000,-99.12766000,CENTRAL-AMERICA,Mexico,NCA
Andritsaina,Andritsaina,GPE,-0.65441176,0.69852941,en,1.70000000,1163407615,265048,P,37.48387000,21.90563000,EUROPE-AFRICA,Greece,MED
